Offspring ID,Candidate mother ID,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Candidate father ID,Pair loci mismatching2,Pair LOD score3,Pair top LOD4,Pair confidence5,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
190,143,1,143077104409351,0,,169,1,122867808842472,122867808842472,*,3,297900800279181,0,
190,168,0,606780758389117,606780758389117,*,169,1,122867808842472,122867808842472,*,1,1225293165581170,1225293165581170,*
191,168,0,636208184567885,636208184567885,*,128,2,-373588517249942,0,,3,144011824481422,0,
191,125,2,-157842066577869,0,,169,1,243139988590313,243139988590313,*,3,426395010007453,0,
191,166,2,-337683350216184,0,,169,1,243139988590313,243139988590313,*,3,182966980327743,0,
191,168,0,636208184567885,636208184567885,*,169,1,243139988590313,243139988590313,*,1,1292191819597470,1292191819597470,*
192,146,3,-760217886690995,0,,169,0,1067614630496940,1067614630496940,*,4,126125265961972,0,
192,148,4,-1280227285749360,0,,169,0,1067614630496940,1067614630496940,*,4,5826046316995.31,0,
192,154,2,-502834088128473,0,,169,0,1067614630496940,1067614630496940,*,4,107050849109277,0,
192,166,2,-374065302251236,0,,169,0,1067614630496940,1067614630496940,*,4,356518366432632,0,
192,168,2,-617795500135356,0,,169,0,1067614630496940,1067614630496940,*,4,119041696524434,0,
192,170,3,-822396847820518,0,,169,0,1067614630496940,1067614630496940,*,4,40562846381892.9,0,
192,172,0,858853135011614,858853135011614,*,169,0,1067614630496940,1067614630496940,*,0,2375869287017200,2375869287017200,*
192,477,1,-144893034368861,0,,169,0,1067614630496940,1067614630496940,*,2,1111181698652070,0,
192,122,2,226792744537426,0,,178,3,-826840777214067,0,,4,1141160105682.15,0,
194,101,0,630005129954327,0,,103,0,1047535870330130,1047535870330130,*,1,1302547508737290,1302547508737290,*
194,117,1,-31088738218955.4,0,,103,0,1047535870330130,1047535870330130,*,3,183006895751215,0,
194,145,3,-946297567621100,0,,103,0,1047535870330130,1047535870330130,*,3,187704444126331,0,
194,162,3,-735244285289748,0,,103,0,1047535870330130,1047535870330130,*,3,151744827273204,0,
194,173,0,781455742680209,781455742680209,*,103,0,1047535870330130,1047535870330130,*,2,847168944823895,0,
194,174,3,-915719496843604,0,,103,0,1047535870330130,1047535870330130,*,3,119445943476116,0,
194,181,0,608033924447154,0,,103,0,1047535870330130,1047535870330130,*,2,777241953539065,0,
194,184,2,-408472318470029,0,,103,0,1047535870330130,1047535870330130,*,3,300109135127951,0,
194,173,0,781455742680209,781455742680209,*,120,0,391033642279426,0,,2,657669201641425,0,
194,181,0,608033924447154,0,,120,0,391033642279426,0,,2,655544269614356,0,
194,173,0,781455742680209,781455742680209,*,124,1,208155401941837,0,,2,898397188493654,0,
194,181,0,608033924447154,0,,124,1,208155401941837,0,,3,361890049419861,0,
194,173,0,781455742680209,781455742680209,*,147,3,-724146412284507,0,,3,149720475306119,0,
195,101,0,479673376871557,479673376871557,*,103,0,835535348608357,835535348608357,*,1,1001461342632110,1001461342632110,*
195,122,1,147360811620724,0,,103,0,835535348608357,835535348608357,*,3,22651771296589.1,0,
195,127,2,-399727464928063,0,,103,0,835535348608357,835535348608357,*,3,134495551202738,0,
195,135,1,-6322979094327.2,0,,103,0,835535348608357,835535348608357,*,2,507783102247476,0,
195,173,1,85077246598071.7,0,,103,0,835535348608357,835535348608357,*,3,76915273401079.3,0,
195,181,1,-35326097286282.6,0,,103,0,835535348608357,835535348608357,*,3,80615080914453.1,0,
195,184,1,130152035666089,0,,103,0,835535348608357,835535348608357,*,2,645252043899036,0,
195,184,1,130152035666089,0,,105,2,-289846320644474,0,,3,83477792143688.9,0,
195,173,1,85077246598071.7,0,,110,1,120588603794890,0,,2,459458809298512,0,
195,173,1,85077246598071.7,0,,120,0,544275171993283,0,,1,819343135829259,0,
195,181,1,-35326097286282.6,0,,120,0,544275171993283,0,,1,819428817217480,0,
195,173,1,85077246598071.7,0,,124,1,127985963931184,0,,3,18654439133544.2,0,
195,101,0,479673376871557,479673376871557,*,164,2,-278470016871549,0,,3,11828904301050.9,0,
195,184,1,130152035666089,0,,164,2,-278470016871549,0,,3,83598102221251.9,0,
196,101,0,534398154382113,534398154382113,*,103,1,294543147484132,0,,1,1139818059038530,1139818059038530,*
196,113,2,-507918826416647,0,,103,1,294543147484132,0,,3,40772888067985.9,0,
196,119,2,-438161440481303,0,,103,1,294543147484132,0,,2,612919857631252,0,
196,148,1,-152876232718805,0,,103,1,294543147484132,0,,2,471076514636435,0,
196,101,0,534398154382113,534398154382113,*,105,0,424575262051363,424575262051363,*,2,379127059949036,0,
196,101,0,534398154382113,534398154382113,*,138,2,-539499223881663,0,,2,329894945841394,0,
196,173,2,-109768413890575,0,,153,2,-320849724069807,0,,3,77241242615154.6,0,
196,101,0,534398154382113,534398154382113,*,164,2,-507697459738115,0,,2,428726516754524,0,
197,122,0,986843927787288,986843927787288,*,103,3,-574903859249036,0,,3,308150400841982,0,
197,122,0,986843927787288,986843927787288,*,105,1,-54492224975653.1,0,,2,743050409943597,0,
197,122,0,986843927787288,986843927787288,*,120,1,207136875523335,207136875523335,*,2,863369994129971,863369994129971,*
197,171,2,3986765712826.26,0,,120,1,207136875523335,207136875523335,*,2,666175442736117,0,
197,122,0,986843927787288,986843927787288,*,153,3,-740495564194360,0,,4,16033965452391,0,
197,122,0,986843927787288,986843927787288,*,156,3,-956575167109987,0,,3,220793671933868,0,
198,115,1,13990342058516.6,0,,103,1,287598570804772,0,,2,522018054884264,0,
198,122,0,514604213175735,514604213175735,*,103,1,287598570804772,0,,3,11571140160569.1,0,
198,131,2,-288612372085197,0,,103,1,287598570804772,0,,2,426750113158126,0,
198,144,1,84539843209969.7,0,,103,1,287598570804772,0,,3,203994555833870,0,
198,148,1,205712166697579,0,,103,1,287598570804772,0,,2,572623261917032,0,
198,422,3,-832626173217207,0,,103,1,287598570804772,0,,3,26459788032151.7,0,
198,115,1,13990342058516.6,0,,120,0,380309530595867,380309530595867,*,2,401149256396962,0,
198,144,1,84539843209969.7,0,,120,0,380309530595867,380309530595867,*,2,608539245058784,608539245058784,*
199,122,0,828535170546613,828535170546613,*,193,3,-1015914299489400,0,,3,102169433980836,102169433980836,+
200,,,,,,,,,,,,,,
201,166,2,-471255949176342,0,,169,0,793799146057917,793799146057917,*,3,271769707917759,0,
201,168,0,890674247623462,890674247623462,*,169,0,793799146057917,793799146057917,*,0,2239475240581600,2239475240581600,*
202,166,1,64094489979791.8,0,,114,2,-310406130957348,0,,2,423226990907236,0,
202,117,1,123372495386128,0,,120,2,-660817302921847,0,,2,220340028393959,0,
202,121,1,290113193681642,290113193681642,*,120,2,-660817302921847,0,,2,358082005702326,0,
202,166,1,64094489979791.8,0,,169,1,201497845384052,201497845384052,*,2,544230773083721,0,
202,168,1,-179635707904328,0,,169,1,201497845384052,201497845384052,*,1,807009343819452,807009343819452,*
202,172,2,-295780936940056,0,,169,1,201497845384052,201497845384052,*,3,68053418610454.7,0,
202,477,1,-45800432057434.1,0,,169,1,201497845384052,201497845384052,*,3,41886271201995.8,0,
204,172,0,604085947459435,604085947459435,*,114,2,-440403194545819,0,,3,202672564365758,0,
204,166,2,-259039234097978,0,,169,1,240146336456769,240146336456769,*,3,216796863718477,0,
204,170,0,433951610418228,0,,169,1,240146336456769,240146336456769,*,3,21399878803452.2,0,
204,172,0,604085947459435,604085947459435,*,169,1,240146336456769,240146336456769,*,1,1157235450126450,1157235450126450,*
204,477,1,-76267482766397,0,,169,1,240146336456769,240146336456769,*,3,60404544790297.1,0,
205,155,0,983988768029080,983988768029080,*,105,3,-929182774518493,0,,3,133978056715056,0,
205,109,0,715721258701920,0,,147,1,264604230287582,0,,2,623975659061541,0,
205,154,1,216423337027288,0,,147,1,264604230287582,0,,3,92314235574687.3,0,
205,155,0,983988768029080,983988768029080,*,164,3,-890224098391883,0,,3,203496897730169,0,
205,109,0,715721258701920,0,,176,1,92081843783267.6,0,,3,98871548428731.3,0,
205,145,1,493698875280889,0,,176,1,92081843783267.6,0,,3,69685347955547.8,0,
205,154,1,216423337027288,0,,176,1,92081843783267.6,0,,3,22060935872485.5,0,
205,108,1,418102905939353,0,,203,0,785262876540169,785262876540169,*,4,159601835641712,0,
205,109,0,715721258701920,0,,203,0,785262876540169,785262876540169,*,1,1400593549571210,1400593549571210,*
205,111,1,165013285628247,0,,203,0,785262876540169,785262876540169,*,1,1344409736363530,0,
205,127,1,127712417590798,0,,203,0,785262876540169,785262876540169,*,2,898999123461338,0,
205,145,1,493698875280889,0,,203,0,785262876540169,785262876540169,*,2,870245756063077,0,
205,155,0,983988768029080,983988768029080,*,203,0,785262876540169,785262876540169,*,2,1036546236082900,0,
205,174,1,135249166060586,0,,203,0,785262876540169,785262876540169,*,2,677908221255531,0,
205,177,3,-678346037088352,0,,203,0,785262876540169,785262876540169,*,3,348203578559994,0,
206,118,1,735425805385162,735425805385162,*,136,0,962954737711239,962954737711239,*,1,2022499661562870,2022499661562870,*
206,122,3,-521571656950361,0,,136,0,962954737711239,962954737711239,*,3,512798336065620,0,
206,171,4,-922068932790047,0,,136,0,962954737711239,962954737711239,*,4,131986258669957,0,
207,129,0,1133338512187690,1133338512187690,*,104,4,-1156678651691630,0,,4,203471667567953,0,
207,129,0,1133338512187690,1133338512187690,*,107,3,-1139461735137860,0,,3,340751868004388,0,
207,129,0,1133338512187690,1133338512187690,*,110,1,128044568526154,128044568526154,*,2,977708129384402,977708129384402,*
207,129,0,1133338512187690,1133338512187690,*,142,2,-286906293998415,0,,3,666806131500596,0,
207,129,0,1133338512187690,1133338512187690,*,152,2,-581807395493132,0,,3,481489759989995,0,
208,141,0,946678235274823,946678235274823,*,123,3,-595892388841045,0,,3,334894747357318,0,
208,141,0,946678235274823,946678235274823,*,156,1,-33210737218021.9,0,,3,214712505265211,0,
208,111,1,2405763701766.77,0,,165,1,388623475441966,388623475441966,*,2,517408510207987,517408510207987,*
208,134,2,-201836900114720,0,,165,1,388623475441966,388623475441966,*,3,245068006267745,0,
208,111,1,2405763701766.77,0,,185,1,184776797879505,0,,3,20189145887259.5,0,
208,134,2,-201836900114720,0,,185,1,184776797879505,0,,3,220640251797967,0,
209,101,0,885252710985592,885252710985592,*,103,1,329259015182915,329259015182915,*,1,1555771574026130,1555771574026130,*
209,101,0,885252710985592,885252710985592,*,105,2,-270418400667472,0,,3,362781263012299,0,
209,173,1,537827626318510,0,,124,3,-790326259965300,0,,3,150597841570654,0,
209,173,1,537827626318510,0,,153,2,-107470232771458,0,,4,133894385647124,0,
209,181,1,451601094938842,0,,153,2,-107470232771458,0,,4,33308589954308.3,0,
210,101,0,432420349618701,0,,103,1,432590165096362,0,,2,685321362685920,0,
210,135,1,31778760708928.9,0,,103,1,432590165096362,0,,3,85576926086046.5,0,
210,173,1,174247744665992,0,,103,1,432590165096362,0,,3,180606808297402,0,
210,184,2,-224988543346385,0,,103,1,432590165096362,0,,2,557821122957940,0,
210,173,1,174247744665992,0,,120,0,497022144740427,497022144740427,*,2,628866163846707,0,
210,181,0,682312832848655,682312832848655,*,120,0,497022144740427,497022144740427,*,1,1233713746311040,1233713746311040,*
211,146,0,965289973966615,0,,147,0,782786827168967,782786827168967,*,3,402682096430309,0,
211,154,0,654203575936067,0,,147,0,782786827168967,782786827168967,*,1,1294741471389700,0,
211,155,0,1116294834227930,1116294834227930,*,147,0,782786827168967,782786827168967,*,1,1456415635996470,1456415635996470,*
211,166,1,360429239043453,0,,147,0,782786827168967,782786827168967,*,3,537476288925956,0,
211,170,2,-506005927097282,0,,147,0,782786827168967,782786827168967,*,3,127023566748420,0,
211,155,0,1116294834227930,1116294834227930,*,152,3,-953809379268099,0,,3,306759499439794,0,
211,155,0,1116294834227930,1116294834227930,*,153,4,-1111403488631320,0,,4,17396096129495.7,0,
211,183,1,252543899300693,0,,156,3,-879394988750792,0,,3,22611155610865.2,0,
211,109,1,129402823857486,0,,176,0,703235008464976,0,,3,120945340028462,0,
211,111,2,-307520799985531,0,,176,0,703235008464976,0,,3,91778105157112.4,0,
211,127,2,-277800841987463,0,,176,0,703235008464976,0,,3,173747395321987,0,
211,133,1,143420180805999,0,,176,0,703235008464976,0,,3,192125259078072,0,
211,145,1,396027911378405,0,,176,0,703235008464976,0,,3,336751936851899,0,
211,146,0,965289973966615,0,,176,0,703235008464976,0,,3,570454305803917,0,
211,155,0,1116294834227930,1116294834227930,*,176,0,703235008464976,0,,2,1048080481799510,0,
211,166,1,360429239043453,0,,176,0,703235008464976,0,,3,358772051155885,0,
211,146,0,965289973966615,0,,178,1,219817842029774,0,,4,124007667637612,0,
211,155,0,1116294834227930,1116294834227930,*,178,1,219817842029774,0,,3,599682639152585,0,
211,145,1,396027911378405,0,,193,2,-364604999044518,0,,3,266392011270164,0,
211,146,0,965289973966615,0,,193,2,-364604999044518,0,,3,309124219442088,0,
211,155,0,1116294834227930,1116294834227930,*,193,2,-364604999044518,0,,2,918946218335343,0,
211,174,1,147405588408582,0,,193,2,-364604999044518,0,,2,503579115973807,0,
211,146,0,965289973966615,0,,203,1,221446473151867,0,,4,25400947435657.8,0,
211,155,0,1116294834227930,1116294834227930,*,203,1,221446473151867,0,,4,111135301267131,0,
211,174,1,147405588408582,0,,203,1,221446473151867,0,,3,161109360073468,0,
212,129,0,1703055162914170,1703055162914170,*,103,4,-1510185168435770,0,,4,393039388983854,0,
212,129,0,1703055162914170,1703055162914170,*,107,2,-568888030658917,0,,3,935876752435747,0,
212,129,0,1703055162914170,1703055162914170,*,110,2,-459857977346509,0,,2,1506272117052390,0,
212,129,0,1703055162914170,1703055162914170,*,114,2,-489960577637528,0,,3,979301816520682,0,
212,129,0,1703055162914170,1703055162914170,*,120,4,-1645864855762270,0,,4,255393229454274,0,
212,129,0,1703055162914170,1703055162914170,*,142,1,199536161466129,0,,1,2364772352095450,2364772352095450,*
212,341,2,84615843717674.8,0,,142,1,199536161466129,0,,4,244310135892980,0,
212,129,0,1703055162914170,1703055162914170,*,152,1,75495383477696.8,0,,2,1532757501856580,0,
212,160,3,-397225519827130,0,,152,1,75495383477696.8,0,,3,514559400148405,0,
212,129,0,1703055162914170,1703055162914170,*,165,3,-867151621336780,0,,3,981688966122321,0,
212,134,0,666326645607223,0,,193,1,351403651548096,351403651548096,*,4,250067078051982,0,
212,129,0,1703055162914170,1703055162914170,*,236,4,-1447273757597060,0,,4,456713193871796,0,
213,129,0,1418261275642500,1418261275642500,*,107,2,-539429470845463,0,,2,1217315637452610,0,
213,161,2,277020874460130,0,,107,2,-539429470845463,0,,4,27512042922340.8,0,
213,129,0,1418261275642500,1418261275642500,*,110,2,-391898346325488,0,,2,1217715883992710,0,
213,161,2,277020874460130,0,,110,2,-391898346325488,0,,4,3094406978668.17,0,
213,341,2,152575474738696,0,,110,2,-391898346325488,0,,3,227281409089807,0,
213,129,0,1418261275642500,1418261275642500,*,114,3,-907187484001764,0,,4,225155188722509,0,
213,134,1,322165943651952,0,,138,2,8218679095011.08,0,,4,205592863009603,0,
213,129,0,1418261275642500,1418261275642500,*,142,1,310963105433920,0,,1,2160508866483610,2160508866483610,*
213,161,2,277020874460130,0,,142,1,310963105433920,0,,4,410507997890497,0,
213,341,2,152575474738696,0,,142,1,310963105433920,0,,3,728917670764513,0,
