OffspringID,first_weight_offspring,motherID,mother_groupID,fatherID,father_groupID
194,26.4,101,19,103,18
195,27.8,101,19,103,18
196,25.8,101,19,103,18
209,31.2,101,19,103,18
210,31.3,101,19,103,18
232,35.3,101,19,105,15
385,29.9,108,3,165,3
401,27.1,108,3,165,3
402,27.2,108,3,165,3
405,33.2,108,3,165,3
417,39.7,108,3,165,3
430,40.4,108,3,165,3
446,45.3,108,3,165,3
231,33,109,3,123,2
310,45.1,109,3,123,2
323,47.2,109,3,123,2
357,57,109,3,123,2
261,37.6,111,2,123,2
281,29.3,111,2,123,2
284,43,111,2,123,2
309,35.8,111,2,123,2
375,30.5,111,2,152,17
376,32,111,2,124,6
377,30.3,111,2,124,6
406,41.8,111,2,124,6
398,35.2,112,19,236,4
400,34.7,112,19,153,?
445,50.6,112,19,102,19
233,30.3,113,6,152,17
246,33.9,113,2,152,17
256,33.5,113,6,110,7
319,29.4,113,6,152,17
440,31.9,117,18,103,18
444,33.2,117,18,103,18
460,35.2,117,18,107,16
464,44.3,117,18,107,16
467,38.9,117,18,107,16
475,45.4,117,18,103,18
487,50.5,117,18,103,18
206,21,118,17,136,16
230,25,118,17,136,16
254,30.9,118,17,136,16
217,29.1,119,14,105,15
224,22.9,119,14,105,15
225,34.1,119,14,164,12
228,30,119,14,164,12
260,35.5,119,14,105,15
268,37.3,119,14,164,12
271,31.4,119,14,142,14
275,44,119,14,164,12
290,37.8,119,14,142,14
326,55.8,119,14,164,12
390,39.4,121,5,142,14
399,44.6,121,5,123,2
413,52.8,121,5,123,2
197,19.4,122,16,120,10
199,18.6,122,16,193,9
223,19.8,122,16,153,?
243,25.1,122,16,103,18
248,25.2,122,16,105,15
308,31.5,122,16,105,15
388,38,125,5,138,5
391,39.4,125,5,142,14
409,45.2,125,5,142,14
419,55.4,125,5,138,5
253,34.1,127,7,153,?
328,37,127,7,114,6
329,36.1,127,7,124,6
337,36.3,127,7,124,6
338,38.6,127,7,103,18
352,41.2,127,7,124,6
366,39.6,127,7,124,6
207,31.1,129,10,110,7
212,29.5,129,10,142,14
213,31.8,129,10,142,14
216,33.1,129,10,142,14
303,53,129,10,152,17
429,30.9,131,18,103,18
449,34.1,131,18,153,?
485,49.5,131,18,153,?
486,52.7,131,18,153,?
263,29.9,132,2,123,2
282,30.2,132,2,123,2
378,31.2,134,?,103,18
423,59,134,?,128,16
237,24.4,135,18,152,17
240,24.8,135,18,153,?
257,25.3,135,18,153,?
258,25.6,135,18,153,?
322,34.9,135,18,153,?
208,32.4,141,2,123,2
214,29.4,141,10,152,17
219,32.3,141,10,110,7
265,40.3,141,10,169,13
291,41.2,141,10,110,7
363,64.6,141,10,142,14
296,34.2,143,5,138,5
297,30.9,143,5,138,5
320,35.8,143,5,138,5
331,36.4,143,5,138,5
344,39.9,143,5,138,5
345,41.4,143,5,138,5
235,28.8,145,1,157,1
252,30.1,145,1,157,1
386,65.1,145,1,124,6
418,77.6,145,1,157,1
234,29.9,146,1,153,?
293,38.7,146,1,157,1
298,37.8,146,1,157,1
307,38.3,146,1,157,1
340,35,146,1,157,1
355,44.2,146,1,157,1
396,64.7,146,1,157,1
484,102.6,146,1,157,1
198,18.7,148,?,103,18
242,29.3,148,?,157,1
468,45.2,148,?,152,17
427,38.3,149,9,152,17
428,39.4,149,9,142,14
433,36.5,149,9,123,2
452,45.2,149,9,142,14
470,49.9,149,9,152,17
321,40.4,150,14,142,14
335,46,150,14,142,14
362,53.5,150,14,105,15
364,57.3,150,14,142,14
466,57.6,151,9,152,17
392,30.9,154,1,157,1
447,55.9,154,1,157,1
454,38.6,154,1,157,1
465,51.6,154,1,157,1
474,67,154,1,157,1
205,26.3,155,1,203,?
211,29.8,155,1,147,?
277,33.8,155,1,124,6
411,38,158,9,176,8
250,26.6,159,9,203,?
251,31.3,159,9,203,?
283,30,159,9,203,?
336,41.5,159,9,203,?
365,43.8,159,9,203,?
403,29.6,159,9,152,17
458,60.6,161,10,152,17
461,65.2,161,10,123,2
482,71.2,161,10,152,17
241,36.9,162,12,203,?
266,31.6,162,12,103,18
285,37.5,162,12,110,7
360,56,162,12,164,12
361,52.7,162,12,147,?
414,36.7,163,12,164,12
415,34.4,163,12,164,12
416,39.9,163,12,164,12
426,36.9,163,12,164,12
432,39.2,163,12,164,12
441,40.6,163,12,164,12
451,45.7,163,12,164,12
279,38.7,166,1,203,?
299,35.6,166,1,147,?
334,39.6,166,1,147,?
353,44.2,166,1,147,?
354,47.6,166,1,147,?
381,53.4,166,1,147,?
384,52.4,166,1,147,?
244,30.1,167,17,193,9
289,38.2,167,17,164,12
294,36.6,167,17,105,15
318,41.3,167,17,120,10
439,30.6,167,17,152,17
469,45.5,167,17,152,17
190,23.7,168,13,169,13
191,24.3,168,13,169,13
201,27.8,168,13,169,13
202,26.6,168,13,169,13
220,36.1,168,13,169,13
221,32.3,168,13,169,13
314,50.4,168,13,169,13
226,31.1,170,15,102,19
227,31.2,170,15,102,19
324,44.7,171,17,114,6
448,38,171,17,152,17
493,70.4,171,17,152,17
192,25.6,172,13,169,13
204,31.7,172,13,169,13
218,33.4,172,13,169,13
229,38.5,172,13,169,13
238,37.6,172,13,169,13
249,44.6,172,13,169,13
239,34.5,173,11,142,14
262,34.2,173,11,142,14
269,34.8,173,2,142,14
273,35.4,173,11,142,14
278,36.2,173,11,142,14
288,38.8,174,8,157,1
300,39.5,174,8,124,6
404,66.2,174,8,176,8
489,104.5,174,8,114,6
359,53.3,175,8,176,8
342,45.1,177,8,105,15
367,57.1,177,8,178,8
368,51,177,8,120,10
371,45.5,177,8,114,6
394,61.8,177,8,114,6
286,32.9,179,15,185,11
312,41.5,179,15,107,16
313,38.6,179,15,102,19
343,41.7,179,15,136,16
333,45.4,180,15,105,15
383,69.2,180,15,147,?
295,29.6,181,11,178,8
311,31,181,11,157,1
325,32.9,181,11,157,1
356,37.4,181,11,157,1
276,34.1,182,8,178,8
280,38.6,182,8,178,8
317,46.4,182,8,178,8
387,68.3,182,8,178,8
374,64.5,183,8,157,1
408,36.6,183,8,193,9
431,42.9,183,8,193,9
435,47,183,8,193,9
438,48.5,183,8,193,9
450,44.3,183,8,128,16
471,79.5,183,8,157,1
425,36.4,184,8,178,8
488,65.1,184,8,178,8
332,28.7,186,7,120,10
347,27.2,186,7,120,10
348,24.3,186,7,120,10
351,34.3,186,7,120,10
372,32.5,186,7,120,10
476,64.7,187,8,114,6
491,35,188,7,164,12
492,27.9,188,7,103,18
494,36.7,188,7,103,18
495,46.8,188,7,138,5
496,49.8,188,7,164,12
339,37.8,189,7,147,?
349,34.6,189,7,124,6
